"(0.22865530955791474, Array(0.28322044, dtype=float32))"
"(0.2831467664003372, Array(0.25055557, dtype=float32))"
"(0.30049742941856383, Array(0.21490844, dtype=float32))"
"(0.2547581231594086, Array(0.19916151, dtype=float32))"
"(0.25247659332752226, Array(0.1835072, dtype=float32))"
"(0.23915016634464265, Array(0.17088033, dtype=float32))"
"(0.2634680641174316, Array(0.16845079, dtype=float32))"
"(0.25594996163845063, Array(0.15713724, dtype=float32))"
"(0.25430320007801055, Array(0.15658091, dtype=float32))"
"(0.25860787875652314, Array(0.15323053, dtype=float32))"
