0.35300952 0.3263365  0.0084
0.28837857 0.2879603  0.0132
0.2887931  0.24566165 0.0408
0.22471792 0.21142851 0.0204
0.1583287 0.183772  0.0304
0.21997921 0.16212434 0.0248
0.16384007 0.15833452 0.0132
0.14187334 0.14250077 0.0044
0.15693769 0.13498555 0.0112
0.15766527 0.12913778 0.018
0.1166591  0.11976865 0.016
0.14088537 0.11374684 0.0256
0.17437689 0.11773242 0.0196
0.14982858 0.11353071 0.02
0.1752373  0.10721843 0.012
0.19112495 0.10244576 0.0088
0.18520042 0.10291054 0.0176
0.18053186 0.09961683 0.018
0.18764327 0.09696061 0.014
0.1787543  0.09497285 0.0088
0.1996841  0.08914831 0.006
0.2135631  0.09152509 0.0032
0.19548881 0.08736535 0.0084
0.22253048 0.0888414  0.006
0.18814768 0.0845608  0.0056
0.17449176 0.08404071 0.0028
0.1835368  0.08006939 0.0016
0.19142184 0.08222642 0.0012
0.17820019 0.08122802 0.0048
0.2148557  0.07970371 0.0024
