"(0.18716364359855653, Array(0.21636944, dtype=float32))"
"(0.23880387222766877, Array(0.1850688, dtype=float32))"
"(0.24350373051166532, Array(0.16494976, dtype=float32))"
"(0.22678081307411196, Array(0.13893047, dtype=float32))"
"(0.2094034829378128, Array(0.12992893, dtype=float32))"
"(0.20321125013828276, Array(0.11902785, dtype=float32))"
"(0.17695645673274996, Array(0.11021969, dtype=float32))"
"(0.179635986328125, Array(0.10473646, dtype=float32))"
"(0.16231835601329805, Array(0.10137714, dtype=float32))"
"(0.17475780053138731, Array(0.0983632, dtype=float32))"
