0.37906954 0.32727858 0.004
0.27313605 0.24266478 0.0356
0.2139664  0.20672119 0.0208
0.25053722 0.20222852 0.0272
0.2072455  0.15959187 0.0224
0.15124193 0.1575605  0.0228
0.18269391 0.15200034 0.0324
0.17395516 0.1484642  0.0404
0.17742042 0.13099857 0.0376
0.16730791 0.13475896 0.0468
0.14227073 0.12495184 0.0404
0.13289587 0.12545331 0.0392
0.13551225 0.12433713 0.0704
0.11078477 0.1165827  0.0472
0.1657416  0.11840354 0.0572
0.11807019 0.11147435 0.0512
0.16070011 0.12130212 0.0504
0.12720706 0.10484001 0.0612
0.16220295 0.09967956 0.0652
0.12994714 0.10375852 0.0508
0.1910333  0.10783331 0.0648
0.15856858 0.10081732 0.0752
0.16341604 0.0988329  0.0664
0.12332322 0.10582817 0.0496
0.15524589 0.10832296 0.06
0.16539085 0.09499455 0.0544
0.18122312 0.09851474 0.044
0.1614106  0.09200512 0.0488
0.20323153 0.09058404 0.064
0.11305538 0.09058811 0.0376
