[0.29031992 0.42560047 0.0672    ]
[0.262726  0.3973933 0.084    ]
[0.27393374 0.3781983  0.0784    ]
[0.28055778 0.3672641  0.0748    ]
[0.25042325 0.3605469  0.066     ]
[0.21651962 0.35676745 0.0608    ]
[0.18094103 0.35248867 0.0492    ]
[0.1312858 0.3490683 0.0416   ]
[0.12967546 0.34340554 0.0332    ]
[0.1255349  0.33601904 0.0276    ]
[0.1279422  0.32943088 0.0292    ]
[0.13217676 0.32322565 0.024     ]
[0.13831788 0.31493658 0.0236    ]
[0.15336113 0.30792353 0.0236    ]
[0.1782766 0.2995742 0.0188   ]
[0.19146849 0.2939985  0.0156    ]
[0.18580367 0.28620154 0.016     ]
[0.20010708 0.2839374  0.0144    ]
[0.1931112 0.2794454 0.0168   ]
[0.21364687 0.27471077 0.0156    ]
[0.21871261 0.27105898 0.0156    ]
[0.22426143 0.26649532 0.016     ]
[0.21632573 0.26321536 0.0212    ]
[0.21233405 0.2590679  0.0188    ]
[0.21162653 0.2571761  0.0188    ]
[0.20727772 0.25271636 0.0164    ]
[0.21333393 0.24819198 0.0144    ]
[0.20975994 0.24632731 0.0108    ]
[0.20966332 0.24319184 0.008     ]
[0.20798755 0.23979719 0.0092    ]
