[0.12078657 0.42781785 0.0556    ]
[0.11632806 0.39975    0.0132    ]
[0.13653427 0.38027015 0.0044    ]
[0.17790614 0.36860502 0.0056    ]
[0.19967946 0.36115146 0.0052    ]
[0.20921747 0.35533375 0.0008    ]
[0.22171558 0.34788394 0.0008    ]
[0.22659306 0.34295696 0.0016    ]
[0.2255158 0.335304  0.0008   ]
[0.2468875 0.329743  0.004    ]
[0.2987644  0.32397327 0.0048    ]
[0.2978193  0.31740764 0.        ]
[0.2839474 0.3119939 0.0084   ]
[0.30921105 0.30691347 0.0108    ]
[0.35272536 0.30385375 0.0048    ]
[0.36064544 0.29782015 0.0108    ]
[0.36353332 0.29165137 0.0164    ]
[0.36243364 0.28570518 0.0184    ]
[0.36731416 0.28157526 0.0248    ]
[0.38577142 0.275008   0.022     ]
[0.3883016  0.26918328 0.0252    ]
[0.4140933  0.26311544 0.0356    ]
[0.40371135 0.26034367 0.0328    ]
[0.41088375 0.2554319  0.0276    ]
[0.3721593  0.25328398 0.0324    ]
[0.38139096 0.24631128 0.0288    ]
[0.4146631  0.23510897 0.0188    ]
[0.45342442 0.22797726 0.0256    ]
[0.44223166 0.2305475  0.0248    ]
[0.41012925 0.22967881 0.0252    ]
