"(0.5699584180355073, 0.2904980786792934)"
"(0.7249271580696106, 0.22286212847083806)"
"(0.9248171318054199, 0.1792905355900526)"
"(0.87867159948349, 0.13916564153432845)"
"(0.9633694135665893, 0.12312389423549175)"
"(0.9155314689636231, 0.11188993315398693)"
"(0.7808452364444733, 0.10036758397817612)"
"(0.8334323192596436, 0.10132208420038223)"
"(0.832072867155075, 0.09327568871378898)"
"(0.8446293036460877, 0.09664926364421844)"
