"(0.16861485934257506, Array(0.29049808, dtype=float32))"
"(0.15480615763664246, Array(0.22286215, dtype=float32))"
"(0.3222721720695496, Array(0.17929055, dtype=float32))"
"(0.3306488565444946, Array(0.13916564, dtype=float32))"
"(0.3980299090862274, Array(0.1231239, dtype=float32))"
"(0.38106898818016055, Array(0.11188994, dtype=float32))"
"(0.31405037279129033, Array(0.1003676, dtype=float32))"
"(0.32883268322944637, Array(0.10132209, dtype=float32))"
"(0.32922693920135493, Array(0.0932757, dtype=float32))"
"(0.3367760233402252, Array(0.09664927, dtype=float32))"
