"(0.2855452472925186, Array(0.21327764, dtype=float32))"
"(0.3392104266166687, Array(0.15218972, dtype=float32))"
"(0.26152834260463714, Array(0.12386005, dtype=float32))"
"(0.2446057171344757, Array(0.1117571, dtype=float32))"
"(0.22942595489025114, Array(0.1088895, dtype=float32))"
"(0.2017543125867844, Array(0.10279621, dtype=float32))"
"(0.1386801390171051, Array(0.09838498, dtype=float32))"
"(0.1506397662162781, Array(0.09453086, dtype=float32))"
"(0.15774481616020203, Array(0.09000722, dtype=float32))"
"(0.21904667382240298, Array(0.08983237, dtype=float32))"
