"(0.3608611104011536, 0.21327761258035896)"
"(0.39901608519554144, 0.15218969199955462)"
"(0.3328043655395508, 0.12386002640724182)"
"(0.3265049249649048, 0.11175707538723946)"
"(0.309747225856781, 0.10888948222100733)"
"(0.2826072922706604, 0.10279618263244628)"
"(0.24865188245773318, 0.09838496179580689)"
"(0.25393767623901364, 0.09453083926439286)"
"(0.25608102917671205, 0.0900071942448616)"
"(0.28398531370162966, 0.08983234406709671)"
